Team,Event,X,Y,X2,Y2
Reading,Cross,53,84,13,53
Reading,Turnover/Loss,16,85,13,81
Reading,Ball Recovery,10,83,7,84
Reading,Pass,5,86,5,93
Reading,Cross,5,89,2,58
Reading,Turnover/Loss,42,5,17,11
Reading,Ball Recovery,21,6,-,-
Reading,Pass,11,13,16,7
Reading,Cross,16,9,10,43
Reading,Pass,41,99,9,75
Reading,Cross,9,71,9,41
Reading,Shot,9,41,1,41
Reading,Ball Recovery,4,30,-,-
Reading,Cross,1,32,6,47
Reading,Ball Recovery,24,49,-,-
Reading,Turnover/Loss,10,49,-,-
Reading,Pass,30,65,36,86
Reading,Dribble,36,86,18,88
Reading,Turnover/Loss,19,87,-,-
Reading,Ball Recovery,39,83,-,-
Reading,Pass,43,82,59,69
Reading,Pass,55,53,57,34
Reading,Turnover/Loss,54,26,-,-
Reading,Pass,41,0,18,13
Reading,Turnover/Loss,17,18,-,-
Reading,Pass,69,70,87,64
Reading,Clearance,95,58,54,86
Reading,Pass,85,63,57,62
Reading,Dribble,56,58,66,58
Reading,Pass,66,58,78,61
Reading,Pass,78,61,39,75
Reading,Turnover/Loss,39,75,-,-
Reading,Pass,67,42,44,49
Reading,Pass,44,49,33,48
Reading,Turnover/Loss,32,48,-,-
Reading,Clearance,69,86,33,68
Reading,Turnover/Loss,35,69,44,62
Reading,Ball Recovery,44,63,-,-
Reading,Pass,43,66,35,90
Reading,Dribble,35,87,38,72
Reading,Pass,38,72,29,34
Reading,Dribble,29,33,20,50
Reading,Dribble,20,50,27,46
Reading,Pass,27,47,31,58
Reading,Pass,31,58,14,66
Reading,Turnover/Loss,14,67,-,-
Reading,Pass,14,99,9,63
Reading,Pass,9,63,8,41
Reading,Shot,9,42,0,42
Reading,Corner Kick,1,0,-,-
Reading,Cross,1,2,9,69
Reading,Shot,9,68,1,56
Reading,Ball Recovery,11,62,-,-
Reading,Pass,11,61,19,58
Reading,Cross,18,56,1,64
Reading,Turnover/Loss,1,64,-,-
Reading,Ball Recovery,72,66,-,-
Reading,Pass,72,65,56,64
Reading,Turnover/Loss,60,62,-,-
Reading,Clearance,72,74,55,98
Reading,Ball Recovery,61,81,-,-
Reading,Dribble,60,81,54,68
Reading,Pass,54,68,15,70
Reading,Dribble,15,70,10,83
Reading,Cross,9,84,17,49
Reading,Turnover/Loss,17,52,-,-
Reading,Ball Recovery,40,75,-,-
Reading,Pass,41,74,32,50
Reading,Pass,32,48,21,37
Reading,Pass,21,37,11,37
Reading,Shot,11,36,1,39
Reading,Corner Kick,1,1,-,-
Reading,Cross,1,1,1,49
Reading,Turnover/Loss,1,50,-,-
Reading,Ball Recovery,48,95,-,-
Reading,Clearance,42,95,23,62
Reading,Pass,22,63,32,56
Reading,Pass,31,57,23,75
Reading,Pass,22,74,9,83
Reading,Dribble,8,82,13,82
Reading,Dribble,13,82,6,82
Reading,Cross,6,83,6,73
Reading,Corner Kick,1,98,-,-
Reading,Pass,0,97,7,96
Reading,Dribble,7,95,8,82
Reading,Pass,7,82,9,87
Reading,Pass,9,88,13,83
Reading,Turnover/Loss,10,84,-,-
Reading,Ball Recovery,59,85,-,-
Reading,Clearance,59,85,28,83
Reading,Turnover/Loss,28,83,-,-
Reading,Ball Recovery,27,83,-,-
Reading,Turnover/Loss,26,84,-,-
Reading,Ball Recovery,80,24,-,-
Reading,Pass,80,23,92,44
Reading,Pass,91,54,29,76
Reading,Dribble,32,76,16,57
Reading,Turnover/Loss,17,56,-,-
Reading,Ball Recovery,19,58,-,-
Reading,Dribble,18,58,21,52
Reading,Pass,21,51,21,29
Reading,Dribble,21,28,4,30
Reading,Cross,5,30,4,49
Reading,Turnover/Loss,3,49,-,-
Reading,Ball Recovery,64,57,-,-
Reading,Pass,64,57,73,74
Reading,Clearance,73,74,53,63
Reading,Turnover/Loss,53,64,-,-
Reading,Ball Recovery,66,57,-,-
Reading,Pass,65,56,81,70
Reading,Clearance,82,71,50,50
Reading,Ball Recovery,74,59,-,-
Reading,Pass,73,57,94,54
Reading,Clearance,93,54,65,66
Reading,Turnover/Loss,65,67,-,-
Reading,Clearance,86,66,57,98
